"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"200",1.483039,6.654633,4.444952,5.656581,10.124928,8.297963,3.113943,"ID_73","SKYRA","samseg","SKYRA_samseg"
"201",1.431361,6.628743,4.638121,5.242284,9.960697,7.93318,3.049155,"ID_81","VERIO","samseg","VERIO_samseg"
"202",1.515077,7.198219,4.674742,5.836612,10.05886,8.727565,3.47473,"ID_120","SKYRA","samseg","SKYRA_samseg"
"203",1.912893,8.770997,5.851783,7.044758,10.471353,9.371902,4.041217,"ID_36","VERIO","samseg","VERIO_samseg"
"204",1.196976,5.78384,4.12967,4.724037,9.998352,7.68971,2.553966,"ID_12","SKYRA","recon6","SKYRA_recon6"
"205",1.192802,5.767293,4.096248,4.703182,9.982434,7.656013,2.635292,"ID_12","VERIO","recon6","VERIO_recon6"
"206",1.402124,5.804969,4.538493,4.589844,10.243365,7.407642,2.851382,"ID_64","SKYRA","recon6","SKYRA_recon6"
"207",1.400395,5.737714,4.480804,4.523885,10.295093,7.332091,2.864923,"ID_64","VERIO","recon6","VERIO_recon6"
"208",1.6465,7.576673,5.516593,6.12445,9.844699,9.377131,3.801292,"ID_20","SKYRA","recon6","SKYRA_recon6"
"209",1.647302,7.578729,5.546998,6.137182,9.83927,9.445294,3.754241,"ID_20","VERIO","recon6","VERIO_recon6"
"210",1.409483,6.295835,4.503429,5.091997,9.766752,9.115742,3.618115,"ID_63","SKYRA","recon6","SKYRA_recon6"
"211",1.407655,6.356775,4.462767,5.146744,9.758212,9.150522,3.698725,"ID_63","VERIO","recon6","VERIO_recon6"
"212",1.691106,7.561152,5.581105,6.110498,10.12736,8.575454,3.724497,"ID_87","SKYRA","recon6","SKYRA_recon6"
"213",1.692531,7.611193,5.614221,6.173859,10.120115,8.610852,3.77249,"ID_87","VERIO","recon6","VERIO_recon6"
"214",1.456034,6.402809,4.790473,5.292905,10.309312,8.193725,3.475141,"ID_118","SKYRA","recon6","SKYRA_recon6"
"215",1.454863,6.391854,4.748499,5.278598,10.261866,8.350538,3.281821,"ID_118","VERIO","recon6","VERIO_recon6"
