"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"205",1.678305,7.380292,4.758952,5.999843,10.690214,8.145643,3.1862,"ID_98","SKYRA","samseg","SKYRA_samseg"
"206",1.399457,6.500435,4.404013,5.201343,9.830938,7.435833,2.760859,"ID_38","SKYRA","samseg","SKYRA_samseg"
"207",1.648156,7.652975,5.169237,6.151812,9.992176,8.999381,3.592154,"ID_11","VERIO","samseg","VERIO_samseg"
"208",1.60471,7.252288,5.226478,5.960085,10.428742,8.547484,3.139154,"ID_4","VERIO","samseg","VERIO_samseg"
"209",1.661573,7.470901,4.979825,6.005211,10.141502,8.594953,3.515834,"ID_99","SKYRA","samseg","SKYRA_samseg"
"210",1.650305,7.412311,5.013254,5.930081,10.122712,8.643769,3.5975,"ID_99","VERIO","samseg","VERIO_samseg"
"211",1.318969,6.088743,4.420125,5.029542,9.809801,6.876648,2.755213,"ID_59","VERIO","samseg","VERIO_samseg"
"212",1.412611,6.552829,4.405374,5.353306,10.167849,7.52692,2.718793,"ID_34","VERIO","samseg","VERIO_samseg"
"213",1.473766,6.780722,4.982174,5.571312,9.872502,8.280386,3.026964,"ID_88","SKYRA","samseg","SKYRA_samseg"
"214",1.433546,6.263377,4.599282,5.014556,10.415929,7.773801,2.907611,"ID_27","SKYRA","samseg","SKYRA_samseg"
"215",1.589623,7.188003,4.975095,5.799176,10.156822,8.476518,3.41365,"ID_116","VERIO","samseg","VERIO_samseg"
